action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,source,project_specific_id,hakai_id,line_out_depth,pressure_transducer_depth,collected,preserved,analyzed,acidified,volume,lab_technician,filter_portion,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,extraction_duration,extraction_method,initial_extraction_volume,volume_filtered_ml,final_extraction_volume,tac_peak,_19_but,_19_hex,alpha_carotene,alloxanthin,antheraxanthin,beta_carotene,c2mgdg,chl_a,chl_b,chl_c1,chl_c1_c2,chl_c2,chl_c3,chl_ide_a,chla_allomer,chla_prime,diadinoxanthin,diatoxanthin,dv_chl_a,fuco,gyroxanthin_diester,lutein,me_chlide,mgdvp,neoxanthin,peri,phbide,phphyt,prasinoxanthin,violaxanthin,zeaxanthin,total_chl_a,all_chl_a,all_chl_a_flag,analyzing_lab,row_flag,quality_level,comments,quality_log
,11961890,1,2021-02-04,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8833,5,5.8233461,2021-02-04T09:34:00.000Z,2021-02-04T14:13:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by MA
,11961890,1,2021-02-04,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8834,10,10.1688343,2021-02-04T09:34:00.000Z,2021-02-04T14:13:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by MA
,11961890,1,2021-02-04,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8835,20,20.3396499,2021-02-04T09:34:00.000Z,2021-02-04T14:13:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by MA
,11961890,1,2021-02-04,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8836,30,29.9283526,2021-02-04T09:34:00.000Z,2021-02-04T14:13:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by MA
,11962406,1,2021-02-08,CALVERT,HAKAI,OCEANOGRAPHY,RVRS,1,DFO2,M,,CX8283,5,,2021-02-08T12:29:27.000Z,2021-02-08T17:12:43.000Z,,,1000,chris.osullivan;eva.jordison;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC metadata QCd by Ma
,11962417,1,2021-02-10,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,2,KC10,M,,CX8282,5,5.2356327,2021-02-10T10:11:14.000Z,2021-02-10T14:06:01.000Z,,,1000,chris.osullivan;eva.jordison,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC metadata QCd by Ma
,12591741,1,2021-02-10,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8837,0,,2021-02-10T09:44:00.000Z,2021-02-10T13:00:00.000Z,,,1000,chris.mackenzie;emma.myers;faye.manning;jonathan.bergshoeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QC'd by JB
,12591741,1,2021-02-10,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8838,5,5.86047,2021-02-10T09:44:00.000Z,2021-02-10T13:00:00.000Z,,,1000,chris.mackenzie;emma.myers;faye.manning;jonathan.bergshoeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QC'd by JB
,12591741,1,2021-02-10,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8839,10,10.6671557,2021-02-10T09:44:00.000Z,2021-02-10T13:00:00.000Z,,,1000,chris.mackenzie;emma.myers;faye.manning;jonathan.bergshoeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QC'd by JB
,12588288,1,2021-02-13,CALVERT,HAKAI,OCEANOGRAPHY,QCS_V1,2,QCS01,M,,CX8277,5,4.6386052,2021-02-13T10:37:33.000Z,2021-02-13T14:37:36.000Z,,,1000,chris.osullivan;eva.jordison;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event Qc'd by CO2: HPLC metadata QCd by Ma
,12589853,1,2021-02-17,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,M,,QX8845,0,,2021-02-17T10:07:00.000Z,2021-02-17T13:37:00.000Z,,,1000,carolyn.prentice;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event QC by MA
,12589851,1,2021-02-17,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,2,TO4A,M,,QX8846,5,5.2964357,2021-02-17T10:09:00.000Z,2021-02-17T13:59:00.000Z,,,1000,carolyn.prentice;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event QC by MA
,12589851,1,2021-02-17,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,2,TO4A,M,,QX8847,10,10.2811406,2021-02-17T10:09:00.000Z,2021-02-17T13:59:00.000Z,,,1000,carolyn.prentice;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event QC by MA
,12590032,1,2021-02-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8840,0,,2021-02-19T09:20:00.000Z,2021-02-19T13:04:00.000Z,,,1000,jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by EJ
,12590032,1,2021-02-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8841,5,6.5918119,2021-02-19T09:20:00.000Z,2021-02-19T13:04:00.000Z,,,1000,jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by EJ
,12590032,1,2021-02-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8842,10,11.0947305,2021-02-19T09:20:00.000Z,2021-02-19T13:04:00.000Z,,,1000,jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by EJ
,12590032,1,2021-02-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8843,20,20.9203547,2021-02-19T09:20:00.000Z,2021-02-19T13:04:00.000Z,,,1000,jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by EJ
,12590032,1,2021-02-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8844,30,30.7373467,2021-02-19T09:20:00.000Z,2021-02-19T13:04:00.000Z,,,1000,jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event metadata QCd by EJ
,12590408,1,2021-02-23,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8848,0,,2021-02-23T09:39:00.000Z,2021-02-23T13:05:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event Metadata QCd by MA
,12590408,1,2021-02-23,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8849,5,5.8596617,2021-02-23T09:39:00.000Z,2021-02-23T13:05:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event Metadata QCd by MA
,12590408,1,2021-02-23,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8850,10,10.316385,2021-02-23T09:39:00.000Z,2021-02-23T13:05:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Raw,,1: Event Metadata QCd by MA
,13229909,1,2021-03-09,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8851,0,,2021-03-09T09:20:00.000Z,2021-03-09T14:04:00.000Z,,,1000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC Metadata QCd by FM
,13229909,1,2021-03-09,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8852,5,5.461033,2021-03-09T09:20:00.000Z,2021-03-09T14:04:00.000Z,,,1000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC Metadata QCd by FM
,13229909,1,2021-03-09,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8853,10,10.0998896,2021-03-09T09:20:00.000Z,2021-03-09T14:04:00.000Z,,,1000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC Metadata QCd by FM
,13229909,1,2021-03-09,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8854,20,19.8012619,2021-03-09T09:20:00.000Z,2021-03-09T14:04:00.000Z,,,1000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC Metadata QCd by FM
,13229909,1,2021-03-09,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8855,30,30.0787746,2021-03-09T09:20:00.000Z,2021-03-09T14:04:00.000Z,,,1000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC Metadata QCd by FM
,12596885,1,2021-03-11,CALVERT,HAKAI,OCEANOGRAPHY,QCS_V1,2,QCS01,M,,CX8284,5,7.7839902,2021-03-11T09:31:04.000Z,2021-03-11T12:30:57.000Z,,,1000,chris.mackenzie;jonathan.bergshoeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QC'd by JB2: Sample metadata QC'd by CO
,13230055,1,2021-03-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8856,0,,2021-03-16T09:46:00.000Z,2021-03-16T13:45:00.000Z,,,1000,faye.manning;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event Metadata QCd by FM2: HPLC Metadata QCd by FM3: left in -20 for 2 days
,13230055,1,2021-03-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8857,5,5.7696533,2021-03-16T09:46:00.000Z,2021-03-16T13:45:00.000Z,,,870,faye.manning;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event Metadata QCd by FM2: HPLC Metadata QCd by FM3: left in -20 for 2 days
,13230058,1,2021-03-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,2,QU39,M,,QX8858,10,10.2384488,2021-03-16T09:50:00.000Z,2021-03-16T13:44:00.000Z,,,1000,faye.manning;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event Metadata QCd by FM2: HPLC Metadata QCd by FM3: left in -20 for 2 days
,13230058,1,2021-03-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,2,QU39,M,,QX8859,20,20.4620696,2021-03-16T09:50:00.000Z,2021-03-16T13:44:00.000Z,,,1000,faye.manning;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event Metadata QCd by FM2: HPLC Metadata QCd by FM3: left in -20 for 2 days
,13230058,1,2021-03-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,2,QU39,M,,QX8860,30,29.8398417,2021-03-16T09:50:00.000Z,2021-03-16T13:44:00.000Z,,,1000,faye.manning;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event Metadata QCd by FM2: HPLC Metadata QCd by FM3: left in -20 for 2 days
,13231760,1,2021-03-23,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,M,,QX8861,0,,2021-03-23T10:09:00.000Z,2021-03-23T11:12:00.000Z,,,1000,carolyn.prentice;jonathan.bergshoeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC Metadata QCd by FM
,13231760,1,2021-03-23,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,M,,QX8862,5,5.8311577,2021-03-23T10:09:00.000Z,2021-03-23T11:12:00.000Z,,,1000,carolyn.prentice;jonathan.bergshoeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC Metadata QCd by FM
,13231760,1,2021-03-23,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,M,,QX8863,10,10.3622638,2021-03-23T10:09:00.000Z,2021-03-23T11:12:00.000Z,,,650,carolyn.prentice;jonathan.bergshoeff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Correct volume; some sample missed2: Event metadata QCd by EJ3: HPLC Metadata QCd by FM
,13863697,1,2021-03-26,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8864,0,,2021-03-26T09:48:00.000Z,2021-03-26T12:49:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC Metadata QCd by FM
,13863697,1,2021-03-26,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8865,5,6.2982178,2021-03-26T09:48:00.000Z,2021-03-26T12:49:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC Metadata QCd by FM
,13863697,1,2021-03-26,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8866,10,10.9527232,2021-03-26T09:48:00.000Z,2021-03-26T12:49:00.000Z,,,1000,eva.jordison;jonathan.bergshoeff;meagan.abele,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by MA2: HPLC Metadata QCd by FM
,15129978,1,2021-03-30,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8867,0,,2021-03-30T09:33:00.000Z,2021-03-30T13:33:00.000Z,,,1000,isabelle.desmarais;Zoe Sandwith,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC Metadata QCd by FM
,15129978,1,2021-03-30,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8868,5,6.0386616,2021-03-30T09:33:00.000Z,2021-03-30T13:33:00.000Z,,,970,isabelle.desmarais;Zoe Sandwith,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC Metadata QCd by FM
,15129978,1,2021-03-30,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8869,10,10.1928996,2021-03-30T09:33:00.000Z,2021-03-30T13:33:00.000Z,,,970,isabelle.desmarais;Zoe Sandwith,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC Metadata QCd by FM
,15129978,1,2021-03-30,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8870,20,20.1673167,2021-03-30T09:33:00.000Z,2021-03-30T13:33:00.000Z,,,1000,isabelle.desmarais;Zoe Sandwith,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC Metadata QCd by FM
,15129978,1,2021-03-30,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,M,,QX8871,30,29.7778298,2021-03-30T09:33:00.000Z,2021-03-30T13:33:00.000Z,,,1000,isabelle.desmarais;Zoe Sandwith,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC Metadata QCd by FM
,15129990,1,2021-04-05,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,M,,QX8872,0,,2021-04-05T09:54:00.000Z,2021-04-05T13:17:00.000Z,,,1000,carolyn.prentice;eva.jordison;Zoe Sandwith,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technicianm,,1: Event metadata QCd by EJ2: HPLC metadata QCd by MA
